,,BAU,,Adopted,,Aspirational,
,Target Year,Electricity,Natural Gas,Electricity,Natural Gas,Electricity,Natural Gas
Residential Buildings,,,,,,,
New/Redeveloped/Replaced Residential Construction Efficiency,2020,0%,0%,-25%,-25%,-50%,-65%
(% reduction from baseline),2035,0%,0%,-30%,-30%,-65%,-80%
,2050,0%,0%,-35%,-35%,-80%,-95%
Residential Retrofit Efficiency,2020,0%,0%,-15%,-15%,-20%,-35%
(% reduction from baseline),2035,0%,0%,-20%,-20%,-40%,-55%
,2050,0%,0%,-30%,-30%,-60%,-75%
Percent of base/existing residential buildings retrofitted each year,All years,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%
Percent of base/existing residential buildings replaced each year,All years,0.60%,0.60%,0.60%,0.60%,0.60%,0.60%
Percent of new residential buildings that are subsequently retrofittedÿ,All years,0.60%,0.60%,0.60%,0.60%,0.60%,0.60%
Commercial Buildings,,,,,,,
New/Redeveloped/Replaced Commercial Construction Efficiency,2020,0%,0%,-40%,-40%,-50%,-50%
(% reduction from baseline),2035,0%,0%,-60%,-60%,-65%,-65%
,2050,0%,0%,-60%,-60%,-80%,-80%
Commercial Retrofit Efficiency,2020,0%,0%,-15%,-15%,-20%,-20%
(% reduction from baseline),2035,0%,0%,-25%,-25%,-40%,-40%
,2050,0%,0%,-40%,-40%,-60%,-60%
Percent of base/existing commercial floor space retrofitted each year,All years,0.95%,0.95%,0.95%,0.95%,0.95%,0.95%
Percent of base/existing commercial floor space replaced each year (EXCLUDING redevelopment),All years,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%
Percent of new commercial buildings that are subsequently retrofitted,All years,0.60%,0.60%,0.60%,0.60%,0.60%,0.60%
ÿThe way this is structured could make a big difference. An illustration similar to Table 4 including the existing stock and replacement and retrofit would be useful.,,,,,,,
